toponymName,name,lat,lng,geonameId,countryCode,countryName,fcl,fcode
Saint-Lô,Saint-Lô,49.11624,-1.09031,2978758,FR,France,P,PPLA2
Saint-Étienne,Saint-Etienne,45.43389,4.39,2980291,FR,France,P,PPLA2
Tarbes,Tarbes,43.23333,0.08333,2973385,FR,France,P,PPLA2
Toulon,Toulon,43.12442,5.92836,2972328,FR,France,P,PPLA2
Tours,Tours,47.38333,0.68333,2972191,FR,France,P,PPLA2
Troyes,Troyes,48.3,4.08333,2971549,FR,France,P,PPLA2
Tulle,Tulle,45.26667,1.76667,2971482,FR,France,P,PPLA2
Valence,Valence,44.93333,4.9,2971053,FR,France,P,PPLA2
Vannes,Vannes,47.66667,-2.75,2970777,FR,France,P,PPLA2
Versailles,Versailles,48.8,2.13333,2969679,FR,France,P,PPLA2
Vesoul,Vesoul,47.63333,6.16667,2969562,FR,France,P,PPLA2
Épinal,Épinal,48.18333,6.45,3020035,FR,France,P,PPLA2
Évreux,Évreux,49.02414,1.15082,3019265,FR,France,P,PPLA2
Évry,Évry,48.63333,2.45,3019256,FR,France,P,PPLA2
